label,text
1,kameMTa pa.Dha kara majA A gayA maiM  to kameMTa pa.Dhane AyA hUM aura hamAre jaise kauna-kauna hai kameMTa pa.Dhane vAle
0,kuttA hI milA thA
1,🙏🙏AjAda desha bhArata me jitanI mahIlAai AjAda haiM|sAyada dUniyA me kahI nahI hogIM|basa pharka itanA hai| ki amIra ghaRa se lekara ophisa taka hara jagaha AjAda hai|aura vahI garIba inakI jhuThana sApha karane se lekara leTIgaM bAtharUma sApha karake gulAma haiM| amIra AjAda hai| garIba gulAma hai|🙏🙏
1,Apa rUkajAo bahuta pesA kamA lIyA
0,ThIka hue chodane ke bechAba nahIM AtA hai isake bAre jaba dila ko kahIM ArAma nahIM sakatA❤️
1,maiM ApakA yUTyUba chainala dekhatI hUM aura Apa jo isa taraha Ama para hI vIDiyo banAte ho aura snaipachaiTa para meM bahuta sArI vIDiyosa dekhatI hUM aura Apa bahuta achChI vIDiyo karA banAte ho aura bahuta mehanata karate ho isalie aise hI mehanata
1,loga kaise kAMgresa ke 70 sAla ke balidAna ko bhUla sakate hai
1,kurakure khAyA karo 🤭🤪🍎
0,anajAna se nikAlo merA dama ghUTa rahA hai vahAM ☹️😭
0,🙏isalie ghUmane se pahale paisA kamA sAle saba bAta kareMge🙏
1,"sA.DI hamArA bhAratIya paridhAna hai ,isa para roka kaise ho sakatI hai, yaha resToreMTa baMda karA jAe"
1,koI AnalAIna hai to kama se kama guDa AphTaranUna bola do jI 🍫🍫🍫🍫🍫
0,kuTTI kuTTI kuTTI parI hai tU
0,"kuCha janatA kI Adata hai,ki kuttA pAgala ho jAya taba bhI usako pAlate rahate chAheM kuttA kATane kI suI lagavAnI pa.De"
1,deva se pUCho aMjali kuCha nA kaho chupa hI raho dekho dha.Dakana kahatI hai
1,lava phora ivara|vana sAiDeDa kI kalpanA nahIM A rahI hai
0,jaya shrI rAma jaya jaya shrI rAma sharma karo jinako rAma ke nAma se sharma A rahI hai
1,dila to.Da ke haMsatI hai merA vaphAai mujhe yAda karegI
0,Apa ye vIDiyo DilITa kara dIjie ye vIDiyo sahI nahIM hai
0,Apake mAMga meM siMdUra bhI najara A rahA hai|
0,ekadama chuTiyA khola kara dikhA de tU to kitanA ba.DhiyA rahate hamAra jA
1,suna suna nanhe lorI kI dhuna
0,vIDiyo para jo likhA hai asake bApa ko Dase aura viDiyo banAyA hai terI mAM ki chuta
1,pa.Dhoge to jarUra pa.Dha pAoge |  kuCha aura karane se achChA silebasa hI khatama kara jAoge
1,maiMne bhI ApakI vIDiyo sheyara kara diyA hai jI hAM dosta Apa 💝💝💝💝❣️❣️❣️💖💖👌👌👌🌹🌹🌹
1,bahuta bahuta sundara laga rahI ho jI
0,sAle kute tU kaॉgresI chamachA hai
1,bolo sAkShI jI kitane sAla kI ho
1,👉👉dekho jaba tuma saba bahuta dukhI ho bahuta udAsa khUba pareshAna ho  aura chiMtA chIkha chIkha kara kaha rahI| hai kI 👉aba kuCha nahIM ho sakatA tumhArA marane   kA mana aura jaba tumhe lagane lage kI jiMdagI sAlA aba kuCha nahIM bachA hai 👉taba usa  samaya mujhe yAda karo
1,pAsavarDa dene ke bAda v TrasTa n hotA logo ko
1,kera ke pe.Da pa.Da pattA nahI  aisA pe.Da sabjI kA hotA nahI kI papatte nA ho hara sabjI meM| pattA rahatA hai
1,batA do nA dila meM kyA hai tumhAre
1,"kuCha to jAdU hai sAMvare ... Apa kI ina AMkhoM meM ❤️ jaba se ina AMkhoM ko dekhA hai"" rAhI"" kuCha aura dikhatA hI nahIM 😊😊"
1,aba tabIyata kaisI hai beTA aba ThIka ho achChe DaॉkTara ko dikhA lete🌿🌿🌿🌿🌿🌿🌿🌿🌿🌿🌿🌿🌿🌿🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹👌👌👌👌👌
1,bhAI  tAlA chAhie
0,aise hI apanA javAnI dikhAo tabhI tuma jaise la.DakI ko dekha kara koI la.DakA biga.DatA hai
1,tAI khupa suMdara 👌👌🌹🌹
1,AI lava yU jAna Apase bahuta pyAra karatA hUM hamArA mobAila naMbara le lenA
0,matalaba naMge nAcha karanA kitanA pasaMda hai logo ko
1,do ghaMTe rone ke bAta apa to bachI ho goI 🤭😛😜😝🤭
0,"BJP eka akelI aisI pArTI hai jisake netA to gAMdhI ko pUjate haiM aura unake voTara nAthUrAma ko😂ora dono meM isa bAta ko lekara koI jhaga.DA bhI nahI😜,😝😝"
0,sahI hai  bekadara nahIM .....patthara ke sanama 😂😜 pure harAmI hai hama ........mere jaisI harAmI kahI DhuMDakara
0,bhAI chunAva ke chakkara meM sarakAra kuCha bhI kara sakatI hai pepara radha karanA to bahAnA hai
0,manuShya eka hai sAle chamAra kaha rahA hai mother chod
0,Dakaita koI kisAna nahIM hai  asalI kisAna kheto para hai  nakalI kisAna Andolana kara rahe haiM|
0,tuma donoM ko koI kAma nahIM hai kyA pAgala hai bevakUpha sAle bekAra
1,"kabhI unakI yAda AtI hai  kabhI unake khva़Aba Ate haiM,, mujhe satAne ke salIke to unheM behisAba Ate haiM....!!💔"
1,tere pyAra meM pAga
0,taba to sAlA meM TamATara ke pe.Da ke pAsa eka darjana kelA hI rakha dUMgA🤣🤣🤣🤣😜😜😜😜😜
0,sAle bhosa.DA apane bolane kA tarIkA badala le
1,hama Apako saporTa karate raheMge 👍👍
1,guDa maॉrniMga shera kara diyA
1,guDa maॉrniMga jI ☕☕🌹🌹🍔👈
0,nAnI ne to batAyA hI nahIM kI gAnDa meM kI.DA hai
0,dikhAne se to achChA hai cha** marA le tU 🍌🍌🌽🍌👌
0,mAdarachoda  kauna jAegA kauna rahegA saba samajha A jAegA kuCha dina meM
0,yaha proTIna DriMka ke lie maiM tarasa rahA sAle yaha proTIna bhI purAnI melA meM
0,e  jannata apanI aukAta meM rahanA  hama terI jannata kI mohatAja nahIM   hama shrI rAma jI ke charaNoM ke bAsI haiM  vahAM terI koI aukAta nahIM❌   jaya jaya shrI rAma🚩🙏
1,🙏🙏jaya shrI rAma 🙏🙏
0,tU nA kuCha baDA kara ThIka hai tU samajha rahI hai nA mai kyA kahenA chAha rahI hU.N agara nahI samajha rahI haiM to suna tU nA vi f  banA loga ise bhI jAdA pasaMda kareMge sali kutIyA 😡
1,merI bhI do beTiyAM haiM maiM bhI bahuta pyAra karatI hUM merI beTiyAM lava yU  merI bhI mAM mainU bahuta pyAra karatI hai lava yU mAM
1,👌🥀❣️❣️ suMdara❣️❣️🥀👌         👌💗❤️ bohota hI suMdara❤️💗👌
1,khuda ko dekha
1,dura kI dostI👫 bhI kamAla kI hotI hai🌹 milanA kahA hotA hai sirpha bAta hI to hotI hai🌹
1,itane saMskArI vIDiyo dekhane ke bAda me apane netra dAna kara dUMgA😌😌
0,maMdira meM Akara bhI raMDiyoM vAlA hI vIDiyo banA rahI hai
1,duA karoM nAmIbiyA nyUjIlaiMDa ko harAye  aura nyUjIlaiMDa aphagAnistAna ko  aura sAre bacheM maicha jIte ba.De ba.De aMtara se
1,magara hama to kameMTa dimAga se kara rahe haiM ❤️🎄🎄🌾 tumheM apane dila se yAda kara rahe haiM 🌹🌹🌹❤️❤️🙋‍♀️ tuma mAno yA nA mAno tumhArI marjI 💚💚🎄🎄🌾🌹🙋‍♀️ phira bhI tumhArI hama phariyAda kara rahe haiM 💚💚🎄🌾❤️❤️💚💚🌹🌹🙋‍♀️ ThIka hai oke phira mileMge jaya hiMda jaya shrI rAma jaya shrI rAma 🙏🙏🙏🙏🙏🙏🇳🇪🇳🇪🇳🇪🇳🇪🇳🇪
1,phona to le lo kavara se kAma chalA rahe ho ke
1,bilkula dera se bolanA nItU ko suna legA 🤪💋💯🎲🍓🌺💕🌼🤗👈✌️💞
1,GarIbI mauta se bhI battara hai mere dosta mauta A jAye para mere dosta garIbI na Aye kisI ko😥😥😥🙏🙏🙏
0,😡😡😡😡😡😡😡😡😡😡😡😡😡😡itanA kyoM pahana rakhI ho ise bhI utAra denA chAhie aura mA.N bApa kA nAma roshana karanA chAhie 😡😡😡😡😡😡chu.Daila
1,😀prAjaktA Apa itane achChe soMga kahAM se DhUMDhate ho kyA ye sAre gUgalI hai detI hai ?😀😀😀😀
0,isameM vAyarala karane vAlI kauna sI bAta hai yaha bha.Dave to kAma hI yahI karate haiM
0,kaThamulloM kI bahuta jalI hogI
0,Oh bahana ke laMDa 🤣😂🤣😂eka. I'd ora chahIye to bheja terI bahana ko
0,unakI pAraTI ko dekhanA hai yAdava sAhaba Apa ke vaMshajo ko dekho jinAhone bhagave ko hI bhuna DAlA thA kAra sevako ko Isalie unase ToTIchoro se puCho kI bhaise charAte the bApa dAdA ke to phekTrI to dura paMchara kI dukAna bhI nahI thI Aja ItanI jamIna jAyadAda kharabo kI milakata AI kahA se eka yAdava se gAU grAsa chArA DakAra liyA jela hoAai nesharmA phira bhI baDe garva se baiThA hai dusarA abhI gayA nahI lisTeDa hai Aya se adhika sampati me puChanA unakA bhI likho bhAI tere svajAtIya baMdhuhai
0,dasa sAla me usakA shaॉTa bI phATA nahI buDDhA abhI huA nahI aura bachche baDe ho gaye dasa sAla bAda bhI usakA kA sharTa vahI kA vahI
0,🚩🚩🚩jinhe desha ko lUTane kA maukA nahIM milA vo loga BJP ko Cho.Da kara bhAga rahe haiM| 🚩🚩🚩
1,kyA seksI hai
1,maiMne bhI ApakI vIDiyo sheyara kara diyA hai jI hAM dosta Apa bhI karo 💖💖💖❤️❤️❤️❤️🌹🌹🌹🌹👌👌
0,salamAna khurshIda tU apane allAha se duA mAMga tU hindustAna meM hai agara tU tAlibAna meM hotA to tujhe apanI aukAta kA patA aba taka laga chukA hotA
0,Abhi to mAra DAlanekI mITiMga chAlU hogaI hai sAle
0,vAha ji sarama bhI nahIM AI kA tujhe
1,chA.Nda kI chA.NdanI ho tuma tAro kI roshanI ho tuma subaha kI lAlI ho tuma mere dila meM basI huI eka AshiqI ho tuma !
0,lagatA hai koI pel rha hai aMdara
0,Rcb bIbI ke chakkara me saba paDe hai   mArate the ChakkA aba chaukA bhI nahI lagatA  kohalI
1,kapa.De to badala detA Inake viDiyo banAne se pahale
0,tumhArI xxxx vIDiyo jitanI achChI nahIM lagI jitanA insta wali lgti hai
0,ye saba modI ke pAlatU kutte hai 😁😁
0,ye chamache to bAte aise karate haiM jaise modI jI se pahale kAMgresa ne hamAre desha ko amerikA aura iMglaiMDa jaise banA diyA thA hada hai yAra chamachAgirI kI😡😡
1,jaya mA.N kAlakA 🙏
0,harAmakhora yAMche bhrasTa sarakAra mahAraShTrAchI vATa lAvalI nAlAyaka
0,"Aja jisa 2021ko daphana kara rahe ho ThIka usI prakAra eka dina usako bhI daphana karoge jisakA tuma velakama kara rahe ho 2022 kA sabako patA hai marane ke bAda apane mAM bApa ko bhI loga ghara se bAhara hI rakhate haiM, jaba logoM ko apane mAM bApa se moha bhaMga ho sakatA hai to 2021kyA chIza hai|"
1,kabhI hama galata nahI hote hamAre hAlAta hI aise hote hai kI nA chAha kara bhI hame vo karate hai jisakI hamane kabhI kalpanA nahI kI hotI hai
1,jaya shani deva 🙏🙏🙏🙏
0,🐖🐖🐖 suvara he ye
0,pehale apanI gAMDa ko samAla le 😠😠
0,to gAMDa maravA lo
0,sAMDa jaisA laDatI hai hI aba dikhane bhI lagI
0,tuma bhI jAnatI ho ise phira bhI tuma leDI hokara dusarI leDI ko kIcha.Da meM pheMka tI ho
1,kAlu hI to hai
0,jaba usake mAM-bApa hI kuttA kutiyA hai to yaha to kuttiyA nikalegI
1,nahIM nibhAte yAra
1,Apa loga to bhUla jAte ho
1,sAre kAMDa Chupe hote hote hai phona meM | yU hI nahIM pAsavarDa lagAe jAte🤣🤣
1,dIdI kAsTa bahuta alaga hai gharavAlA kabhI reDI nahIM hoMge
1,dila kA hAla sune dila vAlA
1,bahuta khUbasUrata lagatI ho vIDiyo banAtI ho to
1,kaise ho jI maiDama jI
0,kyA hu A hai laDakI yo ko supara isTAra bananA hai kyA kuCha sarama karalo bhAIapanA nahI to mA| bApa| kA
0,abe kutte ke muMha ke namAja kA majAka mata banAo
1,Wow sAlI lava yU sa tane
0,are bApa re bApa sardI meM adhya bAjU vAlI sharTa pahanate ho Apako sardI nahIM lagatI are phiroja bhAI agara bukhAra ho gayA phira phira mujhe AnA pa.DegA Apako davAI khilAne👍🌼🌾🌼🌾🌼🌾🌼🌾🌼🌾🌼🌾🌾🌼🌾🌼🌾🌼🌾🌼🌾🌼
1,pena dene se achChA use usakI jarUrata kA sAmAna denA chAhie thA usake kAma AtA vo AI phona chalA ke kyA karegI ye merI socha hai bAkI jo Apane kiyA usake lie 🙏🙏🙏🙏
1,merA bhI no kA ho sake jarUrI pare
0,lAla raMga khatare kA sUchaka hai | janatA sAvadhAnI se ina  dogaloM ko pahachAne| sirpha BJP ko hI voTa kareM|
0,bhAva to peTrola ke ba.De haiM 🙄🙄🙄🙄 tumhAre bhI bhAva kuCha kama nahIM haiM 🤔🤔🤔 suna rahe ho 🗣️👂 phalAne tuma hI ko bola rahI hU.N 👊🏻👈
1,ovaLUna gheto kI kAya rAhula viDio banavAyachyA agodara
0,purI tarahAM se phula mausama meM laga rahe donoM kha.De kha.De hI le rahA hai usakI ghusA de purA le majA
0,dila hI dila kahA hai aba  sIse se bi nAjuka hotA thA  para dila lagAne vAle patthara bana gayA hai
1,laDako kA dila garlsa haॉsTala hotA hai 🙄 tuma bhI Ao tuma bhI Ao
1,jaya shrI rAma siyA rAma mai saba jaga jAni  karahU praNAma jora juga pAnI
0,bura dikhA de raDI tuma ho kAma vAlI besharma beshavA
1,"allAha se ye duA bhI kara lo ki aba phatavA jArI karanA bhI kareM ye islAma premI maulAnA,"
0,bahota seksI laga rahI ho Apa ma.cDama 💋💋
1,dUdha kA dUdha pAnI kA pAnI 😄😄
1,Ha aa jayegi n beImAnI karake IvIema meM ga.DabaDI karake
1,dostI me dosta dosta kA khudA hotA hai mahasUsa taba hotA hai jaba eka dosta dUsare se judA hotA hai 😢 😢 😢
1,"saphalatA kadama chUmatI rahe, khushI AsapAsa ghUmatI rahe, yasha itanA phaile ki kastUrI sharamA jAye, lakShmI kI kRRipA itanI ho ki bAlAjI bhI dekhate raha jAyeM shubha divAlI Jay mata di"
0,laiMDa hai logI kA
0,pAgala aurata DaMkI vIDiyo banA liyA kara vaise bhI terI sakala achI nahI hai🤭
0,hAya re bappA kaisA jamAnA A gayA hai 🤦‍♀️🤦‍♀️🤦‍♀️
1,bahuta hI achChA hai ♥️♥️❤️🧡💛
1,"❤️👩‍❤️‍👨 merI jAna se bhI pyArI merI lADalI begama sanama siMha jI meM hI merA allAha 🕌👈 merA Ishvara🛕👈 bastA hai ❤️👩‍❤️‍👨  ❤️💋 merA ImAna aura merI vafA kA nAma hai shivama kI sabase achChI pyArI kyUTa svITa haॉTa khUbasUrata bahAdura begama 👩‍🚀*'""'Sanam'""'*👩‍🚀 siMha 👩‍🚀💋👩‍🚀💋👩‍🚀💋👩‍🚀💋👩‍🚀💋👩‍🚀💋👩‍🚀💋👩‍🚀💋👩‍🚀💋>>♣️L💕o💕v💕e ♣️ .¸.•*´¨) ✿♣️ L💕o💕v💕e♣️¸.•¸.•` ✿L💕o💕v💕e ✿★.¸¸¸. •´ ♣️ °´★。♣️  　　　　`★.¸¸¸. •°´★ ♣️⛾♣️⛾♣️⛾♣️ L💕o💕v💕e   🌸🌸   🌹  🌸🌸 🌸🌸🌸     🌸🌸🌸 🌸🌸💗🌸💗🌸🌸 🌸💗🌸💗🌸💗🌸       🌸💗🌸🌸💗🌸      🌸💗🌸💗🌸           🌸💗🌸              🌸🌸                🌸 L💕o💕v💕e   🌸🌸   🌹   🌸🌸 🌸🌸🌸 .   🌸🌸🌸 🌸🌸💗🌸💗🌸🌸 🌸💗🌸💗🌸💗🌸       🌸💗🌸🌸💗🌸      🌸💗🌸💗🌸           🌸💗🌸              🌸🌸                🌸 L💕o💕v💕e   🌸🌸   🌹  🌸🌸 🌸🌸🌸     🌸🌸🌸 🌸🌸💗🌸💗🌸🌸 🌸💗🌸💗🌸💗🌸       🌸💗🌸🌸💗🌸      🌸💗🌸💗🌸           🌸💗🌸              🌸🌸                🌸 L💕o💕v💕e   🌸🌸   🌹  🌸🌸 🌸🌸🌸     🌸🌸🌸 🌸🌸💗🌸💗🌸🌸 🌸💗🌸💗🌸💗🌸       🌸💗🌸🌸💗🌸      🌸💗🌸💗🌸           🌸💗🌸              🌸🌸                🌸 L💕o💕v💕e   🌸🌸   🌹   🌸🌸 🌸🌸🌸     🌸🌸🌸 🌸🌸💗🌸💗🌸🌸 🌸💗🌸💗🌸💗🌸       🌸💗🌸🌸💗🌸      🌸💗🌸💗🌸           🌸💗🌸              🌸🌸                🌸 L💕o💕v💕e   🌸🌸   🌹   🌸🌸 🌸🌸🌸     🌸🌸🌸 🌸🌸💗🌸💗🌸🌸 🌸💗🌸💗🌸💗🌸       🌸💗🌸🌸💗🌸      🌸💗🌸💗🌸           🌸💗🌸              🌸🌸                🌸 L💕o💕v💕e   🌸🌸   🌹   🌸🌸 🌸🌸🌸     🌸🌸🌸 🌸🌸💗🌸💗🌸🌸 🌸💗🌸💗🌸💗🌸       🌸💗🌸🌸💗🌸      🌸💗🌸💗🌸           🌸💗🌸              🌸🌸                🌸 L💕o💕v💕e   🌸🌸   🌹  🌸🌸 🌸🌸🌸     🌸🌸🌸 🌸🌸💗🌸💗🌸🌸 🌸💗🌸💗🌸💗🌸       🌸💗🌸🌸💗🌸      🌸💗🌸💗🌸           🌸💗🌸              🌸🌸                🌸 L💕o💕v💕e    🌸🌸   🌹  🌸🌸 🌸🌸🌸     🌸🌸🌸 🌸🌸💗🌸💗🌸🌸 🌸💗🌸💗🌸💗🌸       🌸💗🌸🌸💗🌸      🌸💗🌸💗🌸           🌸💗🌸              🌸🌸                🌸 L💕o💕v💕e   🌸🌸   🌹  🌸🌸 🌸🌸🌸     🌸🌸🌸 🌸🌸💗🌸💗🌸🌸 🌸💗🌸💗🌸💗🌸       🌸💗🌸🌸💗🌸      🌸💗🌸💗🌸           🌸💗🌸              🌸🌸                🌸   🌹🌹🌹🌹🌹🌹   🌸🌸   🌹  🌸🌸 🌸🌸🌸     🌸🌸🌸 🌸🌸💗🌸💗🌸🌸 🌸💗🌸💗🌸💗🌸       🌸💗🌸🌸💗🌸      🌸💗🌸💗🌸           🌸💗🌸              🌸🌸                🌸"
0,tU dAta kyU nikalI hai sAlI
0,bhosaDI ke silatA kyoM hai
0,tuma sAloM hiMdU aura hiMdutva ke nAma para kalaMka ho bhagavAna kA rUpa dhAraNa karake isa tarIke kI harakata kara rahe ho sharma AnI chAhie tumako DUba maro
1,lAkha samajhAne para bhI jaba ghara ke loga eka murkha sadasya ko dhara kA mukhiyA banA de to jamIna aura jamIra dono kI nilAmI taya hai|
1,jaya mA.N kAlI🌹🌷🌺🌻🌼👏👏👏
1,"agara ApakI IjAjata ho to hama Apase pAcha minaTa kA.cla para bAta karanA chAhate hai , plija riplAya mI"
0,hara gha.DI ko badalate hue dekhA hai jaba jaba mAM bhAratI ke lAla kha.De hote haiM chunAva chinha meM aura chIna apanI gaddArI ko bakhUbI nibhAne lagatA hai ApasI vivAda bola ke sAtha hiMdU chInI bAya bAya sAle gaddAra ke bhAI chIna pAkistAna
0,Thokara khAte haiM aura muskurAte haiM isa dila ko sabra karanA sikhAte haiM    hama darda lekara bhI logoM ko yAda karate haiM aura loga darda dekara bhI logoM ko bhUla jAte haiM
0,isI taraha se ko pradhAna matrI modI ko bhI mAre to bahota achChA hotA modI kA hosa ThikAne ho jAtA
0,jisane tujhe paidA kiyA usakI sharma kara tere bhAI tere bApa ke pAsa yaha vIDiyo jAegI to kaisA lagegA terA pati tere vIDiyo dekhegA to kaisA lagegA terI bahana terI mAM terA bApa terI vIDiyo dekhegA to kaisA lagegA nIcha aurata
0,to suna ma****** rAvaNa ne vibhIShaNa ko lAta mArakara bAhara bhagA diyA thA
1,🎣 maChalI pAnI meM kabhI nahIM DUbatI hai  voTara meM shAmila hotI hai
0,maiMne dekha liyA dUrabIna lagA ke ora saba ko dikhA de kapa.DA utara ke
1,shivAnI kumArI tuma kahAM se ho
0,bahuta bechaina  hai ye ise chaina me se nikAla kara denA hI pa.DegA
1,hara hara mahAdeva bama-bama bole jaya bholenAtha
1,chAra dina kI chAMdanI phira aMdherI rAta  apane mana kI mana hI  jAne dila me kyA hai bAta
1,kaॉla karo to sahI
1,Apa ne  itanA achChA DAMsa kahA sikhA
1,Apa to ekadama se chAMda jaisI khubasUrata laga rahI ho yAra
0,8 sAlo se vitta maMtrI aura sarakAra desha kA bajaTa khuda ke lie banA rahI hai janatA kA kyA bhukhI naMgI bAsI roTI khA kara jI hI rahI hai !
0,apane bahaniyA se jAkara pUCho re mAdharchoda suhAgarAta kA DeTa kaba AegA raMDI kI aulAda
0,diNa me chodA karo
0,prAjAlI cha phokapana dAkhava maga kasa pANI nIgataya Aju kunI tuja pAnI konI nAhI kADalaya vATata
1,"jhaMDabhakto.. tuma svadeshI bano.! tuma HMT kI gha.DI pahano, hAlAMki modI 2 lAkha kI movADo pahanatA hai.! tuma phAsTa-Traika ke chashme pahano, vo bulgarI pahanatA hai.! tuma bajAja kA skUTara chalAo, ve 13 karo.Da kI kAra meM ghUmatA hai.!  bAkI dila pe mata lenA..  aura  dimAga 2/- meM  ,giravI rakhakara gujArA kara rahe ho , 😜"
0,Bhenchod terI mAM se jyAdA aura kyA-kyA rupaiyA gAMDa meM DAla dUMgA phA.Da dUMgA tera
1,khulA bahuta ba.DA hai chAMda sabakA vakta AtA hai khudA para bharosA rakho kabhI hamArI bhI bArI AegI
1,kisane kharIdA ve terI ammI ne ki tere abbA ne
